"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT08"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-02","8.28","0.00","0.0","0.0","55","65","46",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-03","5.82","0.00","0.0","0.0","56","69","46",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-04","11.63","0.00","0.0","0.0","56","63","45",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-05","11.41","0.24","0.0","0.0","52","58","45","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-06","5.82","0.00","0.0","0.0","50","62","45","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-07","6.71","0.00","0.0","0.0","55","69","43",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-08","6.71","0.00","0.0","0.0","60","75","47",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-09","5.82","0.00","0.0","0.0","64","80","49",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-10","6.26","0.00","0.0","0.0","62","67","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-11","5.59","0.00","0.0","0.0","55","57","50","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-12","7.38","0.17","0.0","0.0","53","60","51","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-13","6.26","0.16","0.0","0.0","53","54","50","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-14","4.47","0.01","0.0","0.0","53","64","49","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-15","6.26","0.00","0.0","0.0","56","68","49","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-16","6.71","0.00","0.0","0.0","56","60","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-17","4.70","0.00","0.0","0.0","57","67","51",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-18","6.71","0.00","0.0","0.0","62","78","54",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-19","5.82","0.00","0.0","0.0","62","71","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-20","4.03","0.00","0.0","0.0","58","74","51","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-21","4.70","0.00","0.0","0.0","64","78","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-22","8.28","0.00","0.0","0.0","61","62","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-23","5.82","0.00","0.0","0.0","56","61","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-24","6.04","0.00","0.0","0.0","57","64","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-25","6.04","0.00","0.0","0.0","56","60","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-26","4.70","0.00","0.0","0.0","58","71","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-27","4.03","0.00","0.0","0.0","63","76","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-28","4.70","0.00","0.0","0.0","66","82","54",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-29","5.59","0.00","0.0","0.0","68","79","55",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-30","5.59","0.00","0.0","0.0","61","73","50",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-05-31","4.92","0.00","0.0","0.0","62","77","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-01","7.61","0.18","0.0","0.0","60","61","53","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-02","11.18","0.02","0.0","0.0","58","64","55",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-03","6.71","0.00","0.0","0.0","58","68","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-04","8.72","0.00","0.0","0.0","61","73","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-05","9.62","0.00","0.0","0.0","66","80","55",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-06","5.82","0.00","0.0","0.0","69","85","56",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-07","7.16","0.00","0.0","0.0","74","88","60",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-08","7.83","0.00","0.0","0.0","74","87","58",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-09","6.04","0.00","0.0","0.0","72","84","58",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-10","6.71","0.00","0.0","0.0","65","78","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-11","7.83","0.00","0.0","0.0","63","76","52",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-12","5.14","0.00","0.0","0.0","61","68","53",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2015-06-13","5.82","0.00","0.0","0.0","60","75","49",,,,,
